"","conservation","cluster","gene","human_AUC","marmoset_AUC","mouse_AUC","human_power","marmoset_power","mouse_power","human_avg.1","human_avg.2","marmoset_avg.1","marmoset_avg.2","mouse_avg.1","mouse_avg.2","human_prop.1","human_prop.2","marmoset_prop.1","marmoset_prop.2","mouse_prop.1","mouse_prop.2"
"SPATA6","human","Pvalb","SPATA6",0.702,NA,NA,0.404,NA,NA,0.622444921103366,0.211627891366874,0.140064653550441,0.101610822874091,0.0332086009469637,0.0301675488706777,0.614027719445611,0.244588235294118,0.185249709639954,0.131622516556291,0.0440289505428227,0.0405341712490181
"COL4A2","human","Pvalb","COL4A2",0.701,NA,NA,0.402,NA,NA,0.625794725628484,0.225591531965574,0.20483417571537,0.222656144206421,0.216204341389797,0.302173750331452,0.622007559848803,0.217764705882353,0.256678281068525,0.267715231788079,0.272617611580217,0.354124116260801
"MICAL2","human_marmoset","Pvalb","MICAL2",0.701,0.766,NA,0.402,0.532,NA,1.11590124759937,0.680566892016169,1.04695882889244,0.448171099511415,1.08065316890473,0.830968873526286,0.897102057958841,0.636,0.844947735191638,0.46953642384106,0.859469240048251,0.675726630007855
"NHS","human","Pvalb","NHS",0.701,NA,NA,0.402,NA,NA,1.82149810923759,1.40753511994101,1.23809221756503,1.15283258418811,1.34359718129867,1.43135017258745,0.989080218395632,0.930235294117647,0.912891986062718,0.847847682119205,0.907117008443908,0.89630793401414
"SORBS1","human","Pvalb","SORBS1",0.701,NA,NA,0.402,NA,NA,1.92164103452853,1.53072292811592,1.84629867323447,1.63575464879454,2.07783195747046,1.90765450053131,0.99370012599748,0.955529411764706,0.992450638792102,0.970860927152318,0.996381182147165,0.99057344854674
"GRM7","human_marmoset","Vip","GRM7",0.922,0.818,NA,0.844,0.636,NA,3.25655793734783,1.52078583677404,2.47922940097328,1.35019698241906,2.77372559070874,1.9798454581438,0.99641810485184,0.779897567221511,0.978632478632479,0.760950764006791,0.946026986506747,0.836267020923281
"DSCAM.1","human_marmoset_mouse","Vip","DSCAM",0.922,0.91,0.738,0.844,0.82,0.476,3.29066003918276,1.58063565295594,2.64798757038157,1.14767921624906,2.46939301005876,1.63619238241315,0.997394985346793,0.769654289372599,0.998931623931624,0.73276740237691,0.984007996001999,0.776154101627366
"GALNT13","human_marmoset","Vip","GALNT13",0.915,0.909,NA,0.83,0.818,NA,2.60385728147508,1.19893042472216,2.26813115826737,0.863783428400211,1.3458379703815,1.11143789666876,0.995766851188538,0.786171574903969,0.989316239316239,0.670797962648557,0.870064967516242,0.809531717037529
"RGS12.1","human","Vip","RGS12",0.909,NA,NA,0.818,NA,NA,2.27437091935433,0.679357843617907,0.695861698520018,0.319903417524844,0.752775227646128,0.295343656917132,0.995766851188538,0.482330345710627,0.549145299145299,0.281324278438031,0.590204897551224,0.21504483560279
"VIP","human_mouse","Vip","VIP",0.905,NA,0.912,0.81,NA,0.824,1.58988485608028,0.0442717090683042,0.429016180482592,0.0191137151697662,3.32832745117587,0.189587372242125,0.830348420709866,0.0405889884763124,0.407051282051282,0.0249575551782683,0.869565217391304,0.112089006974427
