metaneighbor_cluster,metaneighbor_cluster_label,cross_species_cluster,subclass,subclass_color,within_species_clusters,number_of_clusters,present_in_species,number_of_species
lamp5_sncg_vip|2,Lamp5_1,Lamp5_1,Lamp5,#da808c,"human|Lamp5_1, human|Lamp5_2, human|Lamp5_3, chimp|Lamp5_2, gorilla|Lamp5_2, rhesus|Lamp5_3, marmoset|Lamp5_2",7,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|29,Lamp5_3,Lamp5_1,Lamp5,#da808c,"chimp|Lamp5_3, rhesus|Lamp5_4",2,"chimp, rhesus",2
lamp5_sncg_vip|3,Lamp5_2,Lamp5_2,Lamp5,#da808c,"human|Lamp5_4, human|Lamp5_5, human|Lamp5_6, chimp|Lamp5_1, chimp|Sncg_1, gorilla|Lamp5_1, rhesus|Lamp5_1, rhesus|Lamp5_2, marmoset|Lamp5_1",9,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|4,Lamp5_Lhx6_1,Lamp5_Lhx6_1,Lamp5_Lhx6,#935f50,"human|Lamp5_Lhx6_1, chimp|Lamp5_Lhx6_1, chimp|Lamp5_Lhx6_2, gorilla|Lamp5_Lhx6_1, gorilla|Lamp5_Lhx6_2, rhesus|Lamp5_Lhx6_1, marmoset|Lamp5_Lhx6_1",7,"human, chimp, gorilla, rhesus, marmoset",5
glia|7,Micro-PVM_1,Micro-PVM_1,Micro-PVM,#94af97,"human|Micro-PVM_1, human|Micro-PVM_2, human|Micro-PVM_3, chimp|Micro-PVM_1, chimp|Micro-PVM_2, gorilla|Micro-PVM_1, gorilla|Micro-PVM_2, rhesus|Micro-PVM_2, rhesus|Micro-PVM_3, marmoset|Micro-PVM_2, marmoset|Micro-PVM_3",11,"human, chimp, gorilla, rhesus, marmoset",5
glia|20,Micro-PVM_2,Micro-PVM_1,Micro-PVM,#94af97,"gorilla|Micro-PVM_3, marmoset|Micro-PVM_4",2,"gorilla, marmoset",2
glia|23,Micro-PVM_3,Micro-PVM_1,Micro-PVM,#94af97,"rhesus|Micro-PVM_1, marmoset|Micro-PVM_1",2,"rhesus, marmoset",2
glia|9,Oligo_1,Oligo_1,Oligo,#53776b,"human|Oligo_1, human|Oligo_2, human|Oligo_3, human|Oligo_4, chimp|Oligo_1, chimp|Oligo_2, gorilla|Oligo_1, rhesus|Oligo_1, rhesus|Oligo_2, marmoset|Oligo_1, marmoset|Oligo_2",11,"human, chimp, gorilla, rhesus, marmoset",5
glia|12,OPC_1,OPC_1,OPC,#374a45,"human|OPC_1, chimp|OPC_1, gorilla|OPC_2, rhesus|OPC_1, marmoset|OPC_1",5,"human, chimp, gorilla, rhesus, marmoset",5
glia|13,OPC_2,OPC_2,OPC,#374a45,"human|OPC_2, chimp|OPC_2, gorilla|OPC_1, gorilla|OPC_3, rhesus|OPC_2, rhesus|OPC_3, marmoset|OPC_2, marmoset|OPC_3, marmoset|OPC_4",9,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|5,Pax6_1,Pax6_1,Pax6,#71238c,"human|Pax6_1, human|Pax6_2, chimp|Pax6_1, chimp|Pax6_2, gorilla|Pax6_3, gorilla|Pax6_4, rhesus|Pax6_1, rhesus|Pax6_2, marmoset|Pax6_1, marmoset|Pax6_2",10,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|6,Pax6_2,Pax6_2,Pax6,#71238c,"human|Pax6_3, chimp|Pax6_3, gorilla|Pax6_2, rhesus|Pax6_3, marmoset|Sncg_1, marmoset|Sncg_5",6,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|10,Pvalb_1,Pvalb_1,Pvalb,#d93136,"human|Pvalb_7, chimp|Pvalb_3, gorilla|Pvalb_2, rhesus|Pvalb_4, rhesus|Pvalb_5, marmoset|Pvalb_5",6,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|12,Pvalb_2,Pvalb_2,Pvalb,#d93136,"human|Pvalb_9, chimp|Pvalb_1, gorilla|Pvalb_1, rhesus|Pvalb_3, marmoset|Pvalb_6",5,"human, chimp, gorilla, rhesus, marmoset",5
